Location,Function,Intent,Generics,Subtype,Regular,Ignored,Unknown
glob.c:243:12,glob_in_dir,Subtype,0,1,4,1,1
winio.c:2668:6,draw_row,Subtype,0,1,3,0,0
glob.c:1328:1,glob_in_dir,Subtype,0,1,4,1,1
/usr/include/curses.h:2057:31,_tracecchar_t2,Ignored,0,0,0,0,0
/usr/include/wchar.h:223:15,wcslen,Ignored,0,0,0,0,0
/usr/include/time.h:340:12,timer_settime,Ignored,0,0,0,0,0
/usr/include/stdlib.h:460:12,rand_r,Ignored,0,0,0,0,0
/usr/include/stdio.h:704:15,fwrite_unlocked,Ignored,0,0,0,0,0
/usr/include/curses.h:1770:28,mvinwstr,Ignored,0,0,0,0,0
/usr/include/curses.h:805:28,syncok,Ignored,0,0,0,0,0
/usr/include/stdio.h:479:12 <Spelling=/usr/include/stdio.h:479:24>,vfscanf,Ignored,0,0,0,0,0
/usr/include/curses.h:865:28,winstr,Ignored,0,0,0,0,0
/usr/include/curses.h:1730:28,addnwstr,Ignored,0,0,0,0,0
/usr/include/stdio.h:782:12,fsetpos64,Ignored,0,0,0,0,0
/usr/include/curses.h:780:28,scr_restore,Ignored,0,0,0,0,0
/usr/include/unistd.h:300:12,execveat,Ignored,0,0,0,0,0
/usr/include/stdio.h:459:12,vfscanf,Ignored,0,0,0,0,0
/usr/include/curses.h:829:28,waddchstr,Ignored,0,0,0,0,0
/usr/include/pthread.h:790:12,pthread_mutex_trylock,Ignored,0,0,0,0,0
/usr/include/x86_64-linux-gnu/bits/mathcalls.h:110:1 <Spelling=<scratch space>:32:1>,__modff,Ignored,0,0,0,0,0
/usr/include/unistd.h:942:12,revoke,Ignored,0,0,0,0,0
/usr/include/curses.h:1026:33 <Spelling=<scratch space>:187:1>,newpad_sp,Ignored,0,0,0,0,0
/usr/include/unistd.h:611:12,execvpe,Ignored,0,0,0,0,0
/usr/include/pthread.h:906:12,pthread_mutexattr_getprotocol,Ignored,0,0,0,0,0
prompt.c:509:14,input_tab.$2,Ignored,0,0,0,0,0
/usr/include/unistd.h:545:14,getwd,Ignored,0,0,0,0,0
/usr/include/curses.h:1758:28,mvaddwstr,Ignored,0,0,0,0,0
/usr/include/curses.h:1791:28,setcchar,Ignored,0,0,0,0,0
/usr/include/curses.h:2037:28,mcprint,Ignored,0,0,0,0,0
/usr/include/curses.h:1817:28,wins_wch,Ignored,0,0,0,0,0
/usr/include/locale.h:141:17,newlocale,Ignored,0,0,0,0,0
/usr/include/curses.h:1006:28 <Spelling=<scratch space>:167:1>,echo_sp,Ignored,0,0,0,0,0
/usr/include/libintl.h:91:14,bind_textdomain_codeset,Ignored,0,0,0,0,0
/usr/include/time.h:249:15,timegm,Ignored,0,0,0,0,0
/usr/include/libintl.h:61:14,ngettext,Ignored,0,0,0,0,0
/usr/include/libintl.h:54:14,__dcgettext,Ignored,0,0,0,0,0
/usr/include/libintl.h:44:14,dgettext,Ignored,0,0,0,0,0
tempname.c:288:10,try_tempname.$3,Ignored,0,0,0,0,0
/usr/include/libintl.h:39:14,gettext,Ignored,0,0,0,0,0
/usr/include/unctrl.h:61:38 <Spelling=<scratch space>:269:1>,unctrl_sp,Ignored,0,0,0,0,0
/usr/include/stdio.h:484:12 <Spelling=/usr/include/stdio.h:484:24>,vscanf,Ignored,0,0,0,0,0
/usr/include/curses.h:2042:28 <Spelling=<scratch space>:268:1>,mcprint_sp,Ignored,0,0,0,0,0
/usr/include/curses.h:2041:28 <Spelling=<scratch space>:267:1>,has_key_sp,Ignored,0,0,0,0,0
/usr/include/curses.h:2028:32 <Spelling=<scratch space>:266:1>,mouseinterval_sp,Ignored,0,0,0,0,0
/usr/include/curses.h:1032:28 <Spelling=<scratch space>:193:1>,nonl_sp,Ignored,0,0,0,0,0
/usr/include/curses.h:2021:32,mouse_trafo,Ignored,0,0,0,0,0
/usr/include/wchar.h:808:15,fgetwc_unlocked,Ignored,0,0,0,0,0
/usr/include/curses.h:2016:32,ungetmouse,Ignored,0,0,0,0,0
/usr/include/curses.h:1830:33 <Spelling=<scratch space>:261:1>,wunctrl_sp,Ignored,0,0,0,0,0
/usr/include/stdio.h:390:12,vasprintf,Ignored,0,0,0,0,0
/usr/include/curses.h:1829:28 <Spelling=<scratch space>:259:1>,vid_puts_sp,Ignored,0,0,0,0,0
/usr/include/curses.h:1828:28 <Spelling=<scratch space>:258:1>,vid_attr_sp,Ignored,0,0,0,0,0
/usr/include/stdio.h:415:12,fscanf,Ignored,0,0,0,0,0
/usr/include/curses.h:1827:28 <Spelling=<scratch space>:257:1>,unget_wch_sp,Ignored,0,0,0,0,0
/usr/include/curses.h:727:28,mvwhline,Ignored,0,0,0,0,0
/usr/include/curses.h:1816:28,wins_nwstr,Ignored,0,0,0,0,0
/usr/include/curses.h:1815:28,winnwstr,Ignored,0,0,0,0,0
/usr/include/curses.h:1814:28,win_wchstr,Ignored,0,0,0,0,0
/usr/include/curses.h:1812:28,win_wch,Ignored,0,0,0,0,0
/usr/include/wchar.h:613:12,vfwprintf,Ignored,0,0,0,0,0
/usr/include/curses.h:1777:28,mvwget_wch,Ignored,0,0,0,0,0
/usr/include/time.h:345:12,timer_gettime,Ignored,0,0,0,0,0
/usr/include/curses.h:835:28,wattr_get,Ignored,0,0,0,0,0
/usr/include/stdio.h:668:12,ungetc,Ignored,0,0,0,0,0
/usr/include/stdlib.h:1002:12,ptsname_r,Ignored,0,0,0,0,0
/usr/include/sched.h:78:12,sched_rr_get_interval,Ignored,0,0,0,0,0
/usr/include/curses.h:832:28,wattron,Ignored,0,0,0,0,0
/usr/include/stdlib.h:660:12,setenv,Ignored,0,0,0,0,0
/usr/include/signal.h:219:12,sigandset,Ignored,0,0,0,0,0
/usr/include/x86_64-linux-gnu/bits/mathcalls.h:370:1 <Spelling=<scratch space>:176:1>,canonicalizef32,Ignored,0,0,0,0,0
/usr/include/termios.h:48:16,cfgetospeed,Ignored,0,0,0,0,0
/usr/include/strings.h:38:13,bcopy,Ignored,0,0,0,0,0
/usr/include/curses.h:1760:28,mvget_wstr,Ignored,0,0,0,0,0
/usr/include/string.h:179:15,strxfrm_l,Ignored,0,0,0,0,0
/usr/include/stdio.h:765:12,fsetpos,Ignored,0,0,0,0,0
/usr/include/wchar.h:799:15,getwc_unlocked,Ignored,0,0,0,0,0
/usr/include/stdlib.h:389:17,a64l,Ignored,0,0,0,0,0
/usr/include/wchar.h:512:17,wcstof32_l,Ignored,0,0,0,0,0
/usr/include/string.h:471:14,strsep,Ignored,0,0,0,0,0
/usr/include/stdlib.h:239:12,strfromf64,Ignored,0,0,0,0,0
/usr/include/curses.h:658:33,getwin,Ignored,0,0,0,0,0
/usr/include/string.h:293:15,strcspn,Ignored,0,0,0,0,0
/usr/include/stdlib.h:945:15,wcstombs,Ignored,0,0,0,0,0
/usr/include/stdlib.h:279:26,strtoul_l,Ignored,0,0,0,0,0
/usr/include/stdio.h:365:12,vfprintf,Ignored,0,0,0,0,0
/usr/include/unistd.h:1159:14,crypt,Ignored,0,0,0,0,0
/usr/include/curses.h:998:29 <Spelling=<scratch space>:159:1>,can_change_color_sp,Ignored,0,0,0,0,0
/usr/include/stdlib.h:102:15,atof,Ignored,0,0,0,0,0
/usr/include/stdio.h:781:12,fgetpos64,Ignored,0,0,0,0,0
/usr/include/curses.h:668:28,inchnstr,Ignored,0,0,0,0,0
/usr/include/regex.h:627:13,re_set_registers,Ignored,0,0,0,0,0
/usr/include/curses.h:724:28,mvwgetch,Ignored,0,0,0,0,0
/usr/include/pthread.h:1071:12,pthread_rwlock_unlock,Ignored,0,0,0,0,0
/usr/include/x86_64-linux-gnu/sys/stat.h:242:12,fstat64,Ignored,0,0,0,0,0
/usr/include/signal.h:347:12,sigstack,Ignored,0,0,0,0,0
/usr/include/stdio.h:332:12,setvbuf,Ignored,0,0,0,0,0
/usr/include/curses.h:1052:28 <Spelling=<scratch space>:213:1>,slk_color_sp,Ignored,0,0,0,0,0
/usr/include/curses.h:1088:28 <Spelling=<scratch space>:249:1>,resizeterm_sp,Ignored,0,0,0,0,0
/usr/include/curses.h:963:29,is_idcok,Ignored,0,0,0,0,0
/usr/include/curses.h:775:28,scr_dump,Ignored,0,0,0,0,0
/usr/include/stdlib.h:880:14,ecvt,Ignored,0,0,0,0,0
/usr/include/x86_64-linux-gnu/bits/mathcalls.h:203:1 <Spelling=<scratch space>:75:1>,__nanl,Ignored,0,0,0,0,0
/usr/include/dirent.h:325:12,alphasort,Ignored,0,0,0,0,0
/usr/include/x86_64-linux-gnu/bits/mathcalls.h:411:1 <Spelling=<scratch space>:269:1>,totalorderf,Ignored,0,0,0,0,0
/usr/include/stdlib.h:177:17,strtol,Ignored,0,0,0,0,0
/usr/include/stdlib.h:127:20,strtold,Ignored,0,0,0,0,0
/usr/include/curses.h:2027:32 <Spelling=<scratch space>:265:1>,mousemask_sp,Ignored,0,0,0,0,0
/usr/include/string.h:152:14,strncat,Ignored,0,0,0,0,0
/usr/include/wchar.h:254:17,wmemchr,Ignored,0,0,0,0,0
/usr/include/unistd.h:427:16,pwrite64,Ignored,0,0,0,0,0
/usr/include/wchar.h:646:12,swscanf,Ignored,0,0,0,0,0
/usr/include/curses.h:760:28,prefresh,Ignored,0,0,0,0,0
/usr/include/stdio.h:713:12,fseek,Ignored,0,0,0,0,0
/usr/include/unistd.h:755:12,getresuid,Ignored,0,0,0,0,0
/usr/include/curses.h:725:28,mvwgetnstr,Ignored,0,0,0,0,0
/usr/include/pthread.h:1254:12,pthread_barrier_init,Ignored,0,0,0,0,0
/usr/include/curses.h:961:33,wgetparent,Ignored,0,0,0,0,0
/usr/include/pthread.h:344:12,pthread_attr_getscope,Ignored,0,0,0,0,0
/usr/include/stdlib.h:367:1 <Spelling=/usr/include/stdlib.h:367:8>,atol,Ignored,0,0,0,0,0
/usr/include/pthread.h:1219:12,pthread_condattr_setclock,Ignored,0,0,0,0,0
/usr/include/stdlib.h:441:12,initstate_r,Ignored,0,0,0,0,0
/usr/include/stdlib.h:217:12,strfromf,Ignored,0,0,0,0,0
/usr/include/curses.h:1054:31 <Spelling=<scratch space>:215:1>,slk_label_sp,Ignored,0,0,0,0,0
/usr/include/x86_64-linux-gnu/bits/mathcalls.h:424:1 <Spelling=<scratch space>:210:1>,setpayloadf64,Ignored,0,0,0,0,0
/usr/include/string.h:64:12,memcmp,Ignored,0,0,0,0,0
/usr/include/wchar.h:744:15,fgetwc,Ignored,0,0,0,0,0
/usr/include/dirent.h:201:12,readdir64_r,Ignored,0,0,0,0,0
/usr/include/stdio.h:550:12,putc,Ignored,0,0,0,0,0
/usr/include/stdlib.h:527:12,srand48_r,Ignored,0,0,0,0,0
/usr/include/wchar.h:581:16,open_wmemstream,Ignored,0,0,0,0,0
/usr/include/stdlib.h:108:17,atol,Ignored,0,0,0,0,0
/usr/include/stdlib.h:446:12,setstate_r,Ignored,0,0,0,0,0
/usr/include/stdio.h:885:12,__uflow,Ignored,0,0,0,0,0
